#BoardT	BNum	BChannel	Detector	DChannel	HiLo	Comment
V1720	0			0		Trigger	99		0		TrigCoinc
V1720	0			1		T0		2		0		x
V1720	0			2		T0		3		0		x
V1720	0			3		T0		4		0		x
V1720	0			4		T0		5		0		x
V1720	0			5		T0		6		0		x
V1720	0			6		T0		7		0		x
V1720	0			7		T0		8		0		x
V1720	1			0		T0		9		0		x
V1720	1			1		LGCalo	0		0		TopLeft 
V1720	1			2		T0		11		0		x
V1720	1			3		T0		12		0		x
V1720	1			4		T0		13		0		x
V1720	1			5		T0		14		0		x
V1720	1			6		T0		15		0		x	
V1720	1			7		T0		16		0		x
V1720	2			0		T0		17		0		x
V1720	2			1		T0		18		0		x	
V1720	2			2		T0		19		0		x
V1720	2			3		Trigger	2		0		x
V1720	2			4		GasCkov	0		0		US
V1720	2			5		GasCkov	1		0		DSInner
V1720	2			6		GasCkov	2		0		DSOuter
V1720	2			7		Trigger	3		0		x
V1720	3			0		BACkov	0		0		USRight		
V1720	3			1		BACkov	1		0		USLeft
V1720	3			2		BACkov	2		0		USTop
V1720	3			3		BACkov	3		0		MidRight
V1720	3			4		BACkov	4		0		MidLeft
V1720	3			5		BACkov	5		0		DS
V1720	3			6		Trigger	0		0		BeamLeftTop?
V1720	3			7		Trigger	1		0		x
V1720	4			0		LGCalo	1		0		TopCenter
V1720	4			1		LGCalo	2		0		TopRight
V1720	4			2		LGCalo	3		0		MidLeft
V1720	4			3		LGCalo	4		0		MidCenter
V1720	4			4		LGCalo	5		0		MidRight
V1720	4			5		LGCalo	6		0		BotLeft
V1720	4			6		LGCalo	7		0		BotCenter
V1720	4			7		LGCalo	8		0		BotRight
TRB3	100			129		T0		500		1		x
TRB3	100			130		T0		15		0		x
TRB3	100			131		T0		15		1		x
TRB3	100			132		T0		14		0		x
TRB3	100			133		T0		14		1		x
TRB3	100			134		T0		13		0		x
TRB3	100			135		T0		13		1		x
TRB3	100			136		T0		12		0		x
TRB3	100			137		T0		12		1		x
TRB3	100			138		T0		11		0		x
TRB3	100			139		T0		11		1		x
TRB3	100			140		T0		10		0		x
TRB3	100			141		T0		10		1		x
TRB3	100			142		T0		9		0		x
TRB3	100			143		T0		9		1		x
TRB3	100			144		T0		8		0		x
TRB3	100			145		T0		8		1		x
TRB3	100			146		T0		7		0		x
TRB3	100			147		T0		7		1		x
TRB3	100			148		T0		6		0		x
TRB3	100			149		T0		6		1		x
TRB3	100			150		T0		5		0		x
TRB3	100			151		T0		5		1		x
TRB3	100			152		T0		4		0		x
TRB3	100			153		T0		4		1		x
TRB3	100			154		T0		3		0		x
TRB3	100			155		T0		3		1		x
TRB3	100			156		T0		2		0		x
TRB3	100			157		T0		2		1		x
TRB3	100			158		T0		1		0		x
TRB3	100			159		T0		1		1		x
TRB3	100			160		T0		0		0		x
TRB3	100			161		T0		0		1		x
TRB3	100			185		T0		19		0		x
TRB3	100			186		T0		19		1		x
TRB3	100			187		T0		18		0		x
TRB3	100			188		T0		18		1		x
TRB3	100			189		T0		17		0		x
TRB3	100			190		T0		17		1		x
TRB3	100			191		T0		16		0		x
TRB3	100			192		T0		16		1		x
TRB3	100			193		RPC		500		0		x
TRB3	100			194		RPC		0		0		TopLeft
TRB3	100			195		RPC		0		1		TopLeft
TRB3	100			196		RPC		1		0		x
TRB3	100			197		RPC		1		1		x
TRB3	100			198		RPC		2		0		x
TRB3	100			199		RPC		2		1		x
TRB3	100			200		RPC		3		0		x
TRB3	100			201		RPC		3		1		x
TRB3	100			202		RPC		4		0		x
TRB3	100			203		RPC		4		1		x
TRB3	100			204		RPC		5		0		x
TRB3	100			205		RPC		5		1		x
TRB3	100			206		RPC		6		0		x
TRB3	100			207		RPC		6		1		x
TRB3	100			208		RPC		7		0		BotLeft
TRB3	100			209		RPC		7		1		BotLeft
TRB3	100			210		RPC		8		0		TopRight
TRB3	100			211		RPC		8		1		TopRight
TRB3	100			212		RPC		9		0		x
TRB3	100			213		RPC		9		1		x
TRB3	100			214		RPC		10		0		x
TRB3	100			215		RPC		10		1		x
TRB3	100			216		RPC		11		0		x
TRB3	100			217		RPC		11		1		x
TRB3	100			218		RPC		12		0		x
TRB3	100			219		RPC		12		1		x
TRB3	100			220		RPC		13		0		x
TRB3	100			221		RPC		13		1		x
TRB3	100			222		RPC		14		0		x
TRB3	100			223		RPC		14		1		x
TRB3	100			224		RPC		15		0		BotRight
TRB3	100			225		RPC		15		1		BotRight
