#BoardT	BNum	BChannel	Detector	DChannel	HiLo	Comment
V1720	0			0		Trigger	99		0		TrigCoinc
V1720	0			1		T0		1		0		x
V1720	0			2		T0		2		0		x
V1720	0			3		T0		3		0		x
V1720	0			4		T0		4		0		x
V1720	0			5		T0		5		0		x
V1720	0			6		T0		6		0		x
V1720	0			7		T0		7		0		x
V1720	1			0		T0		8		0		x
V1720	1			1		LGCalo	0		0		TopLeft 
V1720	1			2		T0		10		0		x
V1720	1			3		T0		11		0		x
V1720	1			4		T0		12		0		x
V1720	1			5		T0		13		0		x
V1720	1			6		T0		14		0		x	
V1720	1			7		T0		15		0		x
V1720	2			0		T0		16		0		x
V1720	2			1		T0		17		0		x	
V1720	2			2		T0		18		0		x
V1720	2			3		Trigger	2		0		x
V1720	2			4		GasCkov	0		0		US
V1720	2			5		GasCkov	1		0		DSInner
V1720	2			6		GasCkov	2		0		DSOuter
V1720	2			7		Trigger	3		0		x
V1720	3			0		BACkov	0		0		USRight		
V1720	3			1		BACkov	1		0		USLeft
V1720	3			2		BACkov	2		0		USTop
V1720	3			3		BACkov	3		0		MidRight
V1720	3			4		BACkov	4		0		MidLeft
V1720	3			5		BACkov	5		0		DS
V1720	3			6		Trigger	0		0		BeamLeftTop?
V1720	3			7		Trigger	1		0		x
V1720	4			0		LGCalo	1		0		TopCenter
V1720	4			1		LGCalo	2		0		TopRight
V1720	4			2		LGCalo	3		0		MidLeft
V1720	4			3		LGCalo	4		0		MidCenter
V1720	4			4		LGCalo	5		0		MidRight
V1720	4			5		LGCalo	6		0		BotLeft
V1720	4			6		LGCalo	7		0		BotCenter
V1720	4			7		LGCalo	8		0		BotRight
TRB3	502			0		T0		500		0		x
TRB3	502			1		T0		15		0		x
TRB3	502			2		T0		15		1		x
TRB3	502			3		T0		14		0		x
TRB3	502			4		T0		14		1		x
TRB3	502			5		T0		13		0		x
TRB3	502			6		T0		13		1		x
TRB3	502			7		T0		12		0		x
TRB3	502			8		T0		12		1		x
TRB3	502			9		T0		11		0		x
TRB3	502			10		T0		11		1		x
TRB3	502			11		T0		10		0		x
TRB3	502			12		T0		10		1		x
TRB3	502			13		T0		9		0		x
TRB3	502			14		T0		9		1		x
TRB3	502			15		T0		8		0		x
TRB3	502			16		T0		8		1		x
TRB3	502			17		T0		7		0		x
TRB3	502			18		T0		7		1		x
TRB3	502			19		T0		6		0		x
TRB3	502			20		T0		6		1		x
TRB3	502			21		T0		5		0		x
TRB3	502			22		T0		5		1		x
TRB3	502			23		T0		4		0		x
TRB3	502			24		T0		4		1		x
TRB3	502			25		T0		3		0		x
TRB3	502			26		T0		3		1		x
TRB3	502			27		T0		2		0		x
TRB3	502			28		T0		2		1		x
TRB3	502			29		T0		1		0		x
TRB3	502			30		T0		1		1		x
TRB3	502			31		T0		0		0		x
TRB3	502			32		T0		0		1		x
TRB3	502			57		T0		19		0		x
TRB3	502			58		T0		19		1		x
TRB3	502			59		T0		18		0		x
TRB3	502			60		T0		18		1		x
TRB3	502			61		T0		17		0		x
TRB3	502			62		T0		17		1		x
TRB3	502			63		T0		16		0		x
TRB3	502			64		T0		16		1		x
TRB3	503			0 		RPC		500		0		x
TRB3	503			1 		RPC		0		0		TopLeft
TRB3	503			2 		RPC		0		1		TopLeft
TRB3	503			3 		RPC		1		0		x
TRB3	503			4 		RPC		1		1		x
TRB3	503			5 		RPC		2		0		x
TRB3	503			6 		RPC		2		1		x
TRB3	503			7 		RPC		3		0		x
TRB3	503			8 		RPC		3		1		x
TRB3	503			9 		RPC		4		0		x
TRB3	503			10		RPC		4		1		x
TRB3	503			11		RPC		5		0		x
TRB3	503			12		RPC		5		1		x
TRB3	503			13		RPC		6		0		x
TRB3	503			14		RPC		6		1		x
TRB3	503			15		RPC		7		0		BotLeft
TRB3	503			16		RPC		7		1		BotLeft
TRB3	503			17		RPC		8		0		TopRight
TRB3	503			18		RPC		8		1		TopRight
TRB3	503			19		RPC		9		0		x
TRB3	503			20		RPC		9		1		x
TRB3	503			21		RPC		10		0		x
TRB3	503			22		RPC		10		1		x
TRB3	503			23		RPC		11		0		x
TRB3	503			24		RPC		11		1		x
TRB3	503			25		RPC		12		0		x
TRB3	503			26		RPC		12		1		x
TRB3	503			27		RPC		13		0		x
TRB3	503			28		RPC		13		1		x
TRB3	503			29		RPC		14		0		x
TRB3	503			30		RPC		14		1		x
TRB3	503			31		RPC		15		0		BotRight
TRB3	503			32		RPC		15		1		BotRight
