#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0              0              0              
0              1              0              0              0              0              .3004913253    0              0              
1              0              0              0              1.3608574000   0              1.3312502483   0              0              
1              1              0              -1.8712124000  0              0              1.2972566623   0              0              
2              0              0              -1.4924223000  1.4924223000   0              1.3742507308   0              0              
2              1              0              0              .9501077000    0              1.4106908465   0              0              
2              2              0              -2.8584809000  0              0              1.4159448695   0              0              
3              0              0              -1.9264705000  1.9264705000   0              1.3347338316   0              0              
3              1              0              0              .9929275000    0              1.4861551178   0              0              
3              2              0              -3.9342288000  0              0              1.5814036216   0              0              
4              0              0              0              0              0              -.0002349127   0              0              
4              1              0              0              0              0              .0594902079    0              0              
5              0              0              -5.8708260000  0              0              -.4864239794   0              0              
5              0              1              -4.2799530000  0              0              -.4325544875   0              0              
5              1              0              0              -4.6229472300  0              -.3675352369   0              0              
5              1              1              0              -3.3818668000  0              -.4869969371   0              0              
5              2              0              -.7624740000   .7624740000    0              -.5263877856   0              0              
5              2              1              -1.6817748000  1.6817748000   0              -.5356410540   0              0              
6              0              0              -3.5997880000  0              0              -.4901825825   0              0              
6              0              1              -2.0715800000  0              0              -.3200255765   0              0              
6              1              0              0              -2.9607887000  0              -.4500297002   0              0              
6              1              1              0              -1.4582494000  0              -.4204421597   0              0              
6              2              0              .2058750000    -.2058750000   0              -.4950584533   0              0              
6              2              1              -.6865310000   .6865310000    0              -.3229705795   0              0              
7              0              0              -.9939840000   0              0              -.4704671047   0              0              
7              0              1              .3895850000    0              0              -.5355207328   0              0              
7              1              0              0              -1.7287387000  0              -.3417807839   0              0              
7              1              1              0              -1.6065660000  0              -.4981696142   0              0              
