#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0              0              0              
0              1              0              0              0              0              .0570608668    0              0              
1              0              0              0              .0012506       0              .0512081029    0              0              
1              1              0              .0060583       0              0              .0537153663    0              0              
2              0              0              .0039588       .0039588       0              .0895704921    0              0              
2              1              0              0              .0020511       0              .0915013599    0              0              
2              2              0              .0062005       0              0              .0908825655    0              0              
3              0              0              .0033383       .0033383       0              .1108444150    0              0              
3              1              0              0              .0017958       0              .1115778010    0              0              
3              2              0              .0051193       0              0              .1134513730    0              0              
4              0              0              0              0              0              .1506936297    0              0              
4              1              0              0              0              0              .1604281826    0              0              
5              0              0              .0031143       0              0              .0162399157    0              0              
5              0              1              .0021547       0              0              .0110334483    0              0              
5              1              0              0              .0034918       0              .0247454742    0              0              
5              1              1              0              .0017788       0              .0099797789    0              0              
5              2              0              .0017364       .0017364       0              .0123833368    0              0              
5              2              1              .0015249       .0015249       0              .0106312319    0              0              
6              0              0              .0041097       0              0              .0169515293    0              0              
6              0              1              .0031553       0              0              .0140901781    0              0              
6              1              0              0              .0044034       0              .0305059919    0              0              
6              1              1              0              .0022546       0              .0122584320    0              0              
6              2              0              .0027045       .0027045       0              .0169372054    0              0              
6              2              1              .0019637       .0019637       0              .0117072466    0              0              
7              0              0              .0046481       0              0              .0171583671    0              0              
7              0              1              .0046145       0              0              .0178894612    0              0              
7              1              0              0              .0052586       0              .0354998920    0              0              
7              1              1              0              .0026885       0              .0144585900    0              0              
