#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0              0              0              
0              1              0              0              0              0              .0373671615    0              0              
1              0              0              0              .00075102      0              .0601949460    0              0              
1              1              0              .0061039       0              0              .0659932788    0              0              
2              0              0              .0039239       .0039239       0              .1058081160    0              0              
2              1              0              0              .0019906       0              .1070055978    0              0              
2              2              0              .0058697       0              0              .1079968148    0              0              
3              0              0              .0032298       .0032298       0              .1286920504    0              0              
3              1              0              0              .0016332       0              .1301301744    0              0              
3              2              0              .0047955       0              0              .1305770815    0              0              
4              0              0              0              0              0              .1747120205    0              0              
4              1              0              0              0              0              .1763220319    0              0              
5              0              0              .0012352       0              0              .0097265315    0              0              
5              0              1              .00057229      0              0              .0048353054    0              0              
5              1              0              0              .0010857       0              .0106593068    0              0              
5              1              1              0              .00060575      0              .0042492269    0              0              
5              2              0              .00047466      .00047466      0              .0046202171    0              0              
5              2              1              .00054396      .00054396      0              .0059644906    0              0              
6              0              0              .0015139       0              0              .0096583496    0              0              
6              0              1              .0008938       0              0              .0062251864    0              0              
6              1              0              0              .001392        0              .0130239036    0              0              
6              1              1              0              .00077387      0              .0051770175    0              0              
6              2              0              .00080647      .00080647      0              .0061060112    0              0              
6              2              1              .00048411      .00048411      0              .0392269825    0              0              
7              0              0              0              0              0              0              0              0              
7              0              1              0              0              0              0              0              0              
7              1              0              0              0              0              0              0              0              
7              1              1              0              0              0              0              0              0              
