 Station Sensor Row 
 0 0 198
 0 0 199
 0 0 339
 0 0 340
 0 0 632
 0 1 379
 0 1 380
 0 1 400
 0 1 401
 0 1 402
 0 1 403
 0 1 404
 0 1 405
 0 1 406
 2 0 338
 2 0 339
 2 2 529
 3 2 174
 3 2 175
 3 2 176
 3 2 177
 3 2 178
 3 2 229
 4 0 198
 4 0 199
 4 0 338
 4 0 339
 4 1 289
 4 1 384
 4 1 385
 4 1 386
 4 1 387
 4 1 388
 4 1 389
 4 1 390
 4 1 391
 4 1 392
 4 1 393
 4 1 394
 4 1 395
 4 1 396
 4 1 397
 4 1 398
 4 1 399
 4 1 400
 4 1 401
 4 1 402
 4 1 403
 4 1 404
 4 1 405
 4 1 406
 4 1 407
 4 1 408
 4 1 409
 4 1 410
 4 1 411
 4 1 412
 4 1 413
 4 1 414
 4 1 415
 4 1 416
 4 1 417
 4 1 418
 4 1 419
 4 1 420
 4 1 421
 4 1 422
 4 1 423
 4 1 424
 4 1 425
 4 1 426
 4 1 427
 4 1 428
 4 1 429
 4 1 430
 4 1 431
 4 1 432
 4 1 433
 4 1 434
 4 1 435
 4 1 436
 4 1 437
 4 1 438
 4 1 439
 4 1 440
 4 1 441
 4 1 442
 4 1 443
 4 1 444
 4 1 445
 4 1 446
 4 1 447
 4 1 448
 4 1 449
 4 1 450
 4 1 451
 4 1 452
 4 1 453
 4 1 454
 4 1 455
 4 1 456
 4 1 457
 4 1 458
 4 1 459
 4 1 460
 4 1 461
 4 1 462
 4 1 463
 4 1 464
 4 1 465
 4 1 466
 4 1 467
 4 1 468
 4 1 469
 4 1 470
 4 1 471
 4 1 472
 4 1 473
 4 1 474
 4 1 475
 4 1 476
 4 1 477
 4 1 478
 4 1 479
 4 1 480
 4 1 481
 4 1 482
 4 1 483
 4 1 484
 4 1 485
 4 1 486
 4 1 487
 4 1 488
 4 1 489
 4 1 490
 4 1 491
 4 1 492
 4 1 493
 4 1 494
 4 1 495
 4 1 496
 4 1 497
 4 1 498
 4 1 499
 4 1 500
 4 1 501
 4 1 502
 4 1 503
 4 1 504
 4 1 505
 4 1 506
 4 1 507
 4 1 508
 4 1 509
 4 1 510
 4 1 511
 4 3 30
 4 3 31
 4 4 33
 4 4 34
 4 4 289
 4 4 290
 4 4 313
 4 4 314
 4 4 568
 4 4 569
 4 4 576
 4 4 577
 4 5 629
 4 5 630
 4 5 631
 4 5 632
 4 5 633
 4 5 634
 4 5 635
 4 5 636
 4 5 637
 4 5 638
 5 0 0
 5 0 1
 5 0 2
 5 0 3
 5 0 4
 5 0 5
 5 0 6
 5 0 7
 5 0 8
 5 0 9
 5 0 10
 5 0 11
 5 0 12
 5 0 13
 5 0 14
 5 0 15
 5 0 16
 5 0 17
 5 0 18
 5 0 19
 5 0 20
 5 0 21
 5 0 22
 5 0 23
 5 0 24
 5 0 25
 5 0 26
 5 0 27
 5 0 28
 5 0 29
 5 0 30
 5 0 31
 5 0 32
 5 0 33
 5 0 34
 5 0 35
 5 0 36
 5 0 37
 5 0 38
 5 0 39
 5 0 40
 5 0 41
 5 0 42
 5 0 43
 5 0 44
 5 0 45
 5 0 46
 5 0 47
 5 0 48
 5 0 49
 5 0 50
 5 0 51
 5 0 52
 5 0 53
 5 0 54
 5 0 55
 5 0 56
 5 0 57
 5 0 58
 5 0 59
 5 0 60
 5 0 61
 5 0 62
 5 0 63
 5 0 64
 5 0 65
 5 0 66
 5 0 67
 5 0 68
 5 0 69
 5 0 70
 5 0 71
 5 0 72
 5 0 73
 5 0 74
 5 0 75
 5 0 76
 5 0 77
 5 0 78
 5 0 79
 5 0 80
