##V1720 index = (board*8)+chan
Run  500
V1720Index   0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47   
SignalTime   90   31   30   31   30   23   21   22   22   31   46   20   20   19   20   20   19   21   21   30   31   35   85   34   29   28   27   27   26   27   30   30   27   31   25   21   24   26   26   29   0    0    0    0    0    0    0    0    
Run  1003
V1720Index   0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47
SignalTime   53   48   49   48   44   54   49   51   53   47   50   54   48   49   51   46   51   52   51   54   27   34   38   0    25   32   31   29   31   35   0    0    85   35   32   32   36   0    0    35   28   23   36   29   29   45   43   31
Run  1100
V1720Index   0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47
SignalTime   51   43   41   41   41   37   36   37   37   49   48   37   38   36   35   37   36   37   38   50   53   38   76   0    31   33   32   30   32   30   0    0    80   36   34   34   38   0    0    31   29   28   30   27   27   36   37   31
Run  1200
V1720Index   0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47
SignalTime   50   47   45   47   45   44   42   44   48   49   50   43   45   44   44   46   45   43   45   51   38   64   67   0    30   32   33   31   32   30   0    0    80   35   34   34   38   0    0    32   29   29   31   28   26   38   40   31
Run  1300
V1720Index   0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47
SignalTime   52   44   42   43   44   40   38   39   40   49   48   39   40   39   39   38   39   38   39   51   60   41   86   0    30   33   34   32   32   30   0    0    78   33   32   32   36   0    0    30   29   28   30   27   26   36   37   32
Run  2050
V1720Index   0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47
SignalTime   51   46   43   45   43   45   42   43   45   51   47   39   41   41   41   42   42   43   42   52   0    0    0    0    98   80   39   0    0    0    0    0    29   44   49   42   49   50   0    46   48   49   45   46   42   44   46   42
Run  2070
V1720Index   0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47
SignalTime   50   45   42   43   42   44   42   42   44   50   48   39   41   41   41   41   43   44   41   49   0    0    0    0    96   78   43   79   0    0    0    0    0    46   48   43   48   50   48   42   46   47   44   46   43   43   46   42
Run  2140
V1720Index   0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47
SignalTime   52   46   42   41   39   42   39   39   34   49   50   29   31   29   26   26   17   19   20   51   0    0    0    0    61   70   73   40   0    0    0    0    0    11   7    7    4    7    4    7    8    8    12   2    39   24   11   13
Run  2196
V1720Index   0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47
SignalTime   51   48   45   45   46   46   45   45   40   51   48   38   39   38   39   38   34   34   35   49   0    0    0    0    55   46   73   42   0    0    0    0    31   10   11   11   7    9    0    16   18   27   16   7    18   22   24   22
