% Model:              Data taken by AP-STD
% Version:            Merged file.  See EMPHATIC DocDB 1643
% Date:               Sep 13 2023, 10:53
% Dimension:          3
% Nodes:              53742
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bx (T)              mfnc.By (T)              mfnc.Bz (T)
-15                       -15                      -315                     0                        0                        0                       
-10                       -15                      -315                     5.14826e-05              -0.000686437             0.000169833             
-5                        -15                      -315                     3.76525e-05              -0.000572606             8.607e-05               
0                         -15                      -315                     2.42273e-05              -0.000516998             -9.67854e-06            
5                         -15                      -315                     4.28358e-05              -0.000568646             0.000175927             
10                        -15                      -315                     4.48441e-05              -0.000563379             6.3984e-05              
15                        -15                      -315                     0                        0                        0                       
-15                       -10                      -315                     -6.60511e-05             -0.000591303             0.000123715             
-10                       -10                      -315                     3.35232e-05              -0.00060597              0.000129394             
-5                        -10                      -315                     7.50792e-05              -0.000499111             -3.757e-06              
0                         -10                      -315                     -6.78378e-05             -0.000595527             3.80645e-05             
5                         -10                      -315                     -1.58565e-05             -0.000602888             5.31326e-05             
10                        -10                      -315                     2.85794e-05              -0.000420407             -3.77644e-05            
15                        -10                      -315                     -3.53337e-05             -0.000565161             1.15553e-05             
-15                       -5                       -315                     -7.89011e-05             -0.000580606             9.3317e-05              
-10                       -5                       -315                     2.05466e-05              -0.000574392             6.17326e-05             
-5                        -5                       -315                     8.93673e-05              -0.000610097             0.000141921             
0                         -5                       -315                     -0.000128383             -0.000586127             0.000136595             
5                         -5                       -315                     -3.21804e-05             -0.000630905             6.67013e-05             
10                        -5                       -315                     1.14838e-05              -0.000597362             0.000131037             
15                        -5                       -315                     -3.27799e-05             -0.000609011             4.97315e-05             
-15                       0                        -315                     -1.43862e-05             -0.000394071             -0.000118743            
-10                       0                        -315                     -6.73349e-05             -0.000644472             -5.17523e-05            
-5                        0                        -315                     -7.58657e-05             -0.000554332             -7.47216e-05            
0                         0                        -315                     1.60185e-05              -0.000436166             -3.27914e-05            
5                         0                        -315                     3.83971e-05              -0.000670504             -6.8743e-05             
10                        0                        -315                     -7.3813e-05              -0.000660245             2.4415e-05              
15                        0                        -315                     7.60428e-06              -0.000652132             -2.75394e-05            
-15                       5                        -315                     8.43187e-05              -0.000635352             -5.51497e-05            
-10                       5                        -315                     -3.21515e-05             -0.000528635             -7.98368e-05            
-5                        5                        -315                     -3.72417e-06             -0.000626961             2.65977e-06             
0                         5                        -315                     0.000103522              -0.000577111             -9.10856e-06            
5                         5                        -315                     1.36888e-05              -0.000569907             7.16818e-06             
10                        5                        -315                     -0.000102355             -0.000509155             -2.51411e-05            
15                        5                        -315                     4.20144e-06              -0.000426833             -8.09161e-05            
-15                       10                       -315                     4.24488e-05              -0.000615901             -0.000104377            
-10                       10                       -315                     -3.74946e-05             -0.000504358             -2.22983e-05            
-5                        10                       -315                     5.16211e-05              -0.000662208             2.09272e-05             
0                         10                       -315                     8.99099e-05              -0.000648648             2.14375e-06             
5                         10                       -315                     4.48005e-06              -0.000370394             9.6596e-06              
10                        10                       -315                     3.25151e-05              -0.00060226              -4.36939e-05            
15                        10                       -315                     4.88904e-05              -0.0004861               -5.54549e-05            
-15                       15                       -315                     0                        0                        0                       
-10                       15                       -315                     3.5478e-05               -0.000599538             4.70401e-06             
-5                        15                       -315                     -0.000102241             -0.000558043             -9.86023e-05            
0                         15                       -315                     -5.75817e-05             -0.000490477             -3.20353e-06            
5                         15                       -315                     5.85993e-05              -0.000597865             -7.99157e-05            
10                        15                       -315                     1.63075e-05              -0.000579776             -3.38433e-05            
15                        15                       -315                     0                        0                        0                       
-15                       -15                      -310                     0                        0                        0                       
-10                       -15                      -310                     2.63948e-05              -0.000540037             7.10199e-05             
-5                        -15                      -310                     3.29865e-05              -0.00055519              7.25866e-05             
0                         -15                      -310                     2.17078e-05              -0.000562016             8.43457e-05             
5                         -15                      -310                     4.65416e-06              -0.000554704             7.27448e-05             
10                        -15                      -310                     -5.62238e-06             -0.000551823             8.05984e-05             
15                        -15                      -310                     0                        0                        0                       
-15                       -10                      -310                     1.07887e-05              -0.000577468             4.56265e-05             
-10                       -10                      -310                     -6.64154e-07             -0.000631704             3.75735e-05             
-5                        -10                      -310                     -2.02345e-05             -0.000605738             4.28491e-05             
0                         -10                      -310                     2.65065e-05              -0.000563106             3.65503e-05             
5                         -10                      -310                     -1.47356e-05             -0.000649158             4.51106e-05             
10                        -10                      -310                     4.21769e-05              -0.00058977              5.7091e-05              
15                        -10                      -310                     2.20754e-05              -0.000556644             5.74602e-05             
-15                       -5                       -310                     -3.93077e-05             -0.000641481             4.42465e-05             
-10                       -5                       -310                     2.81752e-05              -0.000602086             2.95943e-05             
-5                        -5                       -310                     -4.27753e-05             -0.000583205             3.86571e-05             
0                         -5                       -310                     -6.49214e-06             -0.000621976             -1.20913e-05            
5                         -5                       -310                     -8.97936e-06             -0.000626062             3.91983e-05             
10                        -5                       -310                     -1.66678e-05             -0.000616749             4.26594e-05             
15                        -5                       -310                     -1.19411e-05             -0.000557066             1.6052e-05              
-15                       0                        -310                     5.45806e-07              -0.000651898             -2.3351e-05             
-10                       0                        -310                     -3.62759e-05             -0.000567668             6.79661e-06             
-5                        0                        -310                     -2.77101e-06             -0.0005709               -2.9258e-05             
0                         0                        -310                     4.1202e-06               -0.000616136             -5.49853e-05            
5                         0                        -310                     1.39092e-05              -0.000617069             -1.18203e-05            
10                        0                        -310                     3.29859e-06              -0.000595785             -1.59365e-05            
15                        0                        -310                     4.73915e-05              -0.000614661             -6.26755e-06            
-15                       5                        -310                     5.34393e-06              -0.000612446             -6.37916e-06            
-10                       5                        -310                     1.74417e-05              -0.000570607             -4.86382e-05            
-5                        5                        -310                     2.90768e-06              -0.000582491             -1.46479e-05            
0                         5                        -310                     -2.61528e-05             -0.000585858             -2.58183e-05            
5                         5                        -310                     4.44031e-05              -0.00058701              -3.97618e-05            
10                        5                        -310                     1.5074e-05               -0.000601529             -3.3003e-05             
15                        5                        -310                     -3.25116e-05             -0.000606539             -3.26166e-05            
-15                       10                       -310                     2.39018e-05              -0.000609435             -6.15504e-05            
-10                       10                       -310                     7.01913e-05              -0.000580349             -4.44968e-05            
-5                        10                       -310                     -6.5107e-06              -0.000573872             -0.00011636             
0                         10                       -310                     5.59519e-05              -0.000592679             -0.000101945            
5                         10                       -310                     -9.06964e-06             -0.000587751             -0.000101721            
10                        10                       -310                     1.25623e-05              -0.000578725             -6.80763e-05            
15                        10                       -310                     7.86937e-06              -0.000578623             -4.3292e-05             
-15                       15                       -310                     0                        0                        0                       
-10                       15                       -310                     6.05592e-05              -0.000546482             -0.000106989            
-5                        15                       -310                     1.12705e-05              -0.000609511             -0.000125709            
0                         15                       -310                     1.97374e-05              -0.00058401              -0.000117101            
5                         15                       -310                     6.14927e-06              -0.00056914              -8.98951e-05            
10                        15                       -310                     2.95019e-05              -0.000563422             -0.000127322            
15                        15                       -310                     0                        0                        0                       
-15                       -15                      -305                     0                        0                        0                       
-10                       -15                      -305                     9.08976e-06              -0.000599543             1.78292e-05             
-5                        -15                      -305                     4.89015e-05              -0.000589703             5.11851e-05             
0                         -15                      -305                     7.50059e-07              -0.000706562             4.12862e-05             
5                         -15                      -305                     1.41277e-05              -0.000640969             6.66578e-05             
10                        -15                      -305                     -2.90956e-05             -0.00065103              0.000109359             
15                        -15                      -305                     0                        0                        0                       
-15                       -10                      -305                     2.51045e-05              -0.000590967             3.75369e-06             
-10                       -10                      -305                     2.08738e-05              -0.000614759             4.84756e-05             
-5                        -10                      -305                     1.22371e-05              -0.00062015              6.27815e-05             
0                         -10                      -305                     5.52023e-05              -0.000592291             5.48841e-05             
5                         -10                      -305                     1.18661e-05              -0.000641004             7.14772e-05             
10                        -10                      -305                     6.1542e-05               -0.000605076             6.35299e-05             
15                        -10                      -305                     5.44779e-05              -0.000626111             4.82956e-05             
-15                       -5                       -305                     5.48413e-06              -0.000624842             -5.15909e-06            
-10                       -5                       -305                     3.20893e-05              -0.000631525             -1.36154e-05            
-5                        -5                       -305                     1.0095e-05               -0.000614847             5.30545e-05             
0                         -5                       -305                     2.04645e-05              -0.000643851             -9.97431e-06            
5                         -5                       -305                     3.70504e-05              -0.000647645             2.52558e-05             
10                        -5                       -305                     1.77621e-05              -0.000591019             -1.66414e-05            
15                        -5                       -305                     2.81099e-05              -0.000591401             1.07155e-06             
-15                       0                        -305                     1.22291e-06              -0.000604212             -3.87612e-05            
-10                       0                        -305                     -1.4553e-06              -0.000615423             2.086e-05               
-5                        0                        -305                     2.64031e-05              -0.000574924             2.14886e-05             
0                         0                        -305                     5.23936e-05              -0.000603215             -8.30515e-06            
5                         0                        -305                     -9.0155e-06              -0.000604295             2.078e-06               
10                        0                        -305                     -2.1591e-05              -0.000638313             -4.15696e-05            
15                        0                        -305                     -1.42805e-05             -0.000621061             -3.46381e-06            
-15                       5                        -305                     -4.3072e-05              -0.000641973             -5.35675e-05            
-10                       5                        -305                     3.63115e-06              -0.000630242             -4.55215e-05            
-5                        5                        -305                     1.21758e-05              -0.000647119             -5.76524e-05            
0                         5                        -305                     -3.04731e-05             -0.000622769             -2.14845e-05            
5                         5                        -305                     5.67143e-05              -0.000660457             -8.38568e-05            
10                        5                        -305                     -9.04697e-06             -0.000662256             -4.27161e-05            
15                        5                        -305                     1.80795e-05              -0.000622527             -9.16747e-05            
-15                       10                       -305                     3.24518e-05              -0.00064038              -7.88323e-05            
-10                       10                       -305                     3.67082e-05              -0.000616338             -8.73571e-05            
-5                        10                       -305                     3.08473e-05              -0.000583315             -7.51453e-05            
0                         10                       -305                     5.45602e-05              -0.000613856             -8.67814e-05            
5                         10                       -305                     1.90964e-05              -0.000614013             -0.000106146            
10                        10                       -305                     -9.28788e-07             -0.00063013              -8.50114e-05            
15                        10                       -305                     -1.01261e-05             -0.000630251             -9.42089e-05            
-15                       15                       -305                     0                        0                        0                       
-10                       15                       -305                     -2.6109e-06              -0.000587754             -9.65777e-05            
-5                        15                       -305                     5.21917e-05              -0.000651736             -0.000110878            
0                         15                       -305                     -3.01481e-05             -0.000640733             -0.000110886            
5                         15                       -305                     -3.81246e-06             -0.000602424             -8.94548e-05            
10                        15                       -305                     -8.88721e-06             -0.000644384             -0.000149722            
15                        15                       -305                     0                        0                        0                       
-15                       -15                      -300                     0                        0                        0                       
-10                       -15                      -300                     3.18727e-05              -0.000686503             9.7516e-05              
