% Model:              Data taken by AP-STD
% Version:            2 mm spaced file for 2nd magnet
% Date:               Oct 26 2023           12:19
% Dimension:          3
% Nodes:              2700
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bz (T)              mfnc.By (T)              mfnc.Bx (T)
-0.999937687          -14.99811201          110.057968          0.103398545          -1.222702091          0.029602091
-0.999802592          -14.99826095          115.0581423          0.126698545          -1.179631091          0.027238091
-0.999877233          -14.99819817          120.058185          0.138918545          -1.125874091          0.025029091
-0.9998541          -14.99834109          125.0580821          0.138405545          -1.072710091          0.022919091
-1.000155793          -14.99845689          130.0580253          0.132964545          -1.027347091          0.020879091
-1.000089569          -14.99815955          135.058217          0.131449545          -0.988275091          0.019032091
-1.000077321          -14.99815567          140.057931          0.137248545          -0.950339091          0.017383091
-1.000246109          -14.99798618          145.0578957          0.150317545          -0.908847091          0.015885091
-0.999814497          -14.99798036          150.058039          0.169027545          -0.860463091          0.014581091
-0.999891957          -14.99827921          155.0583223          0.189981545          -0.802668091          0.013361091
-0.99977833          -14.99824443          160.0580939          0.209883545          -0.734728091          0.012268091
-1.000138066          -14.99806425          165.0579786          0.224162545          -0.657914091          0.011339091
-1.000193478          -14.99839515          170.0581023          0.228897545          -0.575615091          0.010479091
-0.999991751          -14.99812076          175.0583016          0.222116545          -0.493737091          0.009700091
-1.000194382          -14.99798363          180.0582975          0.206035545          -0.417399091          0.008916091
0.99978961          -14.9984391          180.0579843          0.205886545          -0.417231091          0.007013091
0.999992241          -14.99807623          175.0569883          0.222201545          -0.493559091          0.008495091
0.999790514          -14.99835062          170.0577891          0.228826545          -0.575488091          0.010122091
0.999845926          -14.99801972          165.0576654          0.224114545          -0.657754091          0.011897091
1.000205662          -14.9981999          160.0577806          0.210231545          -0.734757091          0.013328091
1.000092035          -14.99823467          155.0580091          0.190281545          -0.802619091          0.014521091
1.000169495          -14.99843582          150.0582258          0.169187545          -0.860373091          0.015388091
1.000237883          -14.99844164          145.0575824          0.150488545          -0.908653091          0.015943091
0.999906671          -14.99811114          140.0581177          0.137351545          -0.950155091          0.016335091
0.999894423          -14.99811502          135.0579038          0.131717545          -0.988541091          0.016622091
0.999828199          -14.99841236          130.058212          0.133293545          -1.027546091          0.016906091
1.000129892          -14.99829656          125.0582689          0.138708545          -1.072904091          0.017496091
1.000106759          -14.99815364          120.0583717          0.139453545          -1.126324091          0.018501091
1.0001814          -14.99821641          115.0583291          0.127161545          -1.180457091          0.019604091
1.000046305          -14.99806747          110.0581548          0.103815545          -1.223337091          0.020478091
-6.999980071          -12.99803479          110.0579641          0.084387545          -1.199099091          0.058122091
-6.999844976          -12.99818373          115.0581384          0.102783545          -1.160835091          0.050931091
-6.999919617          -12.99812095          120.058181          0.113794545          -1.113377091          0.044229091
-6.999896484          -12.99826387          125.0580782          0.114871545          -1.064853091          0.037887091
-7.000198177          -12.99837967          130.0580213          0.112123545          -1.021757091          0.031537091
-7.000131953          -12.99808233          135.0582131          0.112439545          -0.983585091          0.025604091
-7.000119705          -12.99807845          140.057927          0.118303545          -0.945547091          0.020480091
-6.999788493          -12.99840896          145.0578917          0.130193545          -0.903924091          0.016379091
-6.999856881          -12.99840313          150.0580351          0.146264545          -0.855167091          0.013205091
-6.999934341          -12.99820199          155.0583184          0.164595545          -0.798151091          0.011072091
-6.999820714          -12.99816721          160.0580899          0.181948545          -0.731550091          0.010202091
-7.00018045          -12.99798703          165.0579747          0.194093545          -0.656425091          0.010563091
-7.000235862          -12.99831793          170.0580984          0.197649545          -0.576230091          0.011782091
-7.000034135          -12.99804354          175.0582976          0.191896545          -0.496289091          0.013146091
-7.000236766          -12.99840641          180.0582936          0.178226545          -0.421329091          0.013958091
-4.99992383          -12.99844419          180.0581588          0.177713545          -0.422092091          0.012144091
-5.000221199          -12.99808132          175.0581628          0.191405545          -0.496649091          0.011902091
-4.999922926          -12.99835571          170.0579636          0.196811545          -0.576082091          0.011287091
-4.999867514          -12.99802481          165.0578399          0.193184545          -0.655705091          0.010797091
-5.000007778          -12.99820499          160.0579551          0.181287545          -0.730479091          0.010916091
-5.000121405          -12.99823976          155.0581836          0.164661545          -0.797082091          0.011801091
-5.000043945          -12.99844091          150.0579003          0.147011545          -0.854567091          0.013618091
-4.999975557          -12.99844673          145.0582569          0.131215545          -0.903345091          0.016159091
