% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),t_hall_begin,2.362
-0.5905512,-0.39370078,0.0002,-2.3618,-0.00404704,0.07173827,0.02571564,90.9561,
-0.5905512,-0.39370078,0.19660001,-2.16539999,-0.00497055,0.08375458,0.03076051,212.9661,
-0.5905512,-0.39370078,0.39340001,-1.96859999,-0.00606865,0.09894941,0.03736639,334.9261,
-0.5905512,-0.39370078,0.59039998,-1.77160002,-0.00757521,0.11744529,0.0455411,456.6961,
-0.5905512,-0.39370078,0.78740001,-1.57459999,-0.00940448,0.14000237,0.05582448,578.7861,
-0.5905512,-0.39370078,0.98400003,-1.37799997,-0.01186324,0.16779659,0.06873192,700.6961,
-0.5905512,-0.39370078,1.18079996,-1.18120004,-0.0150121,0.20162388,0.08503526,822.8061,
-0.5905512,-0.39370078,1.37759995,-0.98440005,-0.01908744,0.24393052,0.10585454,944.5861,
-0.5905512,-0.39370078,1.57459998,-0.78740002,-0.02431031,0.29612331,0.13301609,"1,066.67",
-0.5905512,-0.39370078,1.77139997,-0.59060003,-0.03113079,0.36238546,0.16824782,"1,189.15",
-0.5905512,-0.39370078,1.96819997,-0.39380003,-0.03903757,0.44795765,0.2145759,"1,311.24",
-0.5905512,-0.39370078,2.1652,-0.1968,-0.04739382,0.5568315,0.27344858,"1,433.37",
-0.5905512,-0.39370078,2.36199999,-1E-08,-0.04789796,0.70728831,0.34478718,"1,555.39",
-0.5905512,-0.39370078,2.55879998,0.19679998,-0.019488,0.91338247,0.40182881,"1,677.23",
-0.5905512,-0.39370078,2.75559998,0.39359998,0.02115526,1.14125714,0.34636313,"1,799.12",
-0.5905512,-0.39370078,2.95239997,0.59039997,-0.00352671,1.2986771,0.23257839,"1,921.18",
-0.5905512,-0.39370078,3.1494,0.7874,-0.06158549,1.39518303,0.14968673,"2,043.18",
-0.5905512,-0.39370078,3.34640002,0.98440002,-0.10824928,1.44870524,0.09960831,"2,164.86",
-0.5905512,-0.39370078,3.54299998,1.18099998,-0.13853409,1.47464022,0.07162548,"2,286.90",
-0.5905512,-0.39370078,3.73979998,1.37779998,-0.1643756,1.50412068,0.05490013,"2,408.80",
-0.5905512,-0.39370078,3.9368,1.5748,-0.18150252,1.52437262,0.03528953,"2,530.71",
-0.5905512,-0.39370078,4.13360023,1.77160023,-0.18333466,1.53186402,0.01576059,"2,652.73",
-0.5905512,-0.39370078,4.33039999,1.96839999,-0.16908325,1.5234836,-0.00714824,"2,774.79",
-0.5905512,-0.39370078,4.52740002,2.16540002,-0.13661972,1.48495239,-0.03005498,"2,897.02",
-0.5905512,-0.39370078,4.72440004,2.36240004,-0.10051239,1.42792381,-0.02801198,"3,019.18",
-0.5905512,-0.39370078,4.921,2.559,-0.07441223,1.39917063,-0.01404208,"3,141.19",
-0.5905512,-0.39370078,5.11780024,2.75580024,-0.05936501,1.3869389,-0.00671359,"3,263.38",
-0.5905512,-0.39370078,5.31459999,2.95259999,-0.05080964,1.37819809,-0.00568786,"3,385.49",
-0.5905512,-0.39370078,5.51179981,3.14979981,-0.04491502,1.3700992,-0.0083595,"3,507.45",
-0.5905512,-0.39370078,5.70839977,3.34639977,-0.03891738,1.36033434,-0.01517822,"3,629.75",
