% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),
-0.5905512,-0.39370078,0.0002,7.8002,-0.00751273,0.13986665,-0.05017282,
-0.5905512,-0.39370078,0.19660001,7.99660001,-0.00629011,0.1187169,-0.04203243,
-0.5905512,-0.39370078,0.39340001,8.19340001,-0.0052478,0.10059033,-0.03507171,
-0.5905512,-0.39370078,0.59039998,8.39039998,-0.00434461,0.08539476,-0.0294017,
-0.5905512,-0.39370078,0.78719997,8.58719997,-0.00359525,0.07280088,-0.02455531,
-0.5905512,-0.39370078,0.98400003,8.78400003,-0.00304652,0.06217088,-0.02061543,
-0.5905512,-0.39370078,1.18079996,8.98079996,-0.00257968,0.05337206,-0.01740074,
-0.5905512,-0.39370078,1.37759995,9.17759995,-0.0021395,0.04594959,-0.01469066,
-0.5905512,-0.39370078,1.57459998,9.37459998,-0.00175964,0.039671,-0.01238819,
-0.5905512,-0.39370078,1.77139997,9.57139997,-0.00148518,0.03433447,-0.01051616,
-0.5905512,-0.39370078,1.96819997,9.76819997,-0.00125367,0.02982333,-0.00900985,
-0.5905512,-0.39370078,2.16499996,9.96499996,-0.00104883,0.02602157,-0.00768525,
-0.5905512,-0.39370078,2.36199999,10.16199999,-0.00090098,0.02282659,-0.00661427,
-0.5905512,-0.39370078,2.55879998,10.35879998,-0.0007488,0.01999412,-0.00564458,
-0.5905512,-0.39370078,2.75559998,10.55559998,-0.00063715,0.01754384,-0.0048996,
-0.5905512,-0.39370078,2.95239997,10.75239997,-0.00055984,0.01547476,-0.0042041,
-0.5905512,-0.39370078,3.1494,10.9494,-0.00044231,0.01376041,-0.00369517,
-0.5905512,-0.39370078,3.34619999,11.14619999,-0.00035219,0.01215919,-0.0032141,
-0.5905512,-0.39370078,3.54320002,11.34320002,-0.00034866,0.01082847,-0.0028394,
-0.5905512,-0.39370078,3.73979998,11.53979998,-0.00025945,0.00965541,-0.00242948,
-0.5905512,-0.39370078,3.9368,11.7368,-0.0002565,0.00865181,-0.00213312,
-0.5905512,-0.39370078,4.13360023,11.93360023,-0.00022299,0.00780658,-0.00190954,
-0.5905512,-0.39370078,4.33039999,12.13039999,-0.00018066,0.00695356,-0.00166552,
-0.5905512,-0.39370078,4.52720022,12.32720022,-0.00019313,0.00625818,-0.00148273,
-0.5905512,-0.39370078,4.72440004,12.52440004,-0.00015009,0.00569884,-0.00134798,
-0.5905512,-0.39370078,4.921,12.721,-0.00016164,0.00514046,-0.0012195,
-0.5905512,-0.39370078,5.11780024,12.91780024,-0.00008653,0.00465219,-0.00106447,
-0.5905512,-0.39370078,5.31459999,13.11459999,-0.00006731,0.0041851,-0.00093861,
-0.5905512,-0.39370078,5.51160002,13.31160002,-0.00009073,0.00385526,-0.00087429,
-0.5905512,-0.39370078,5.70839977,13.50839977,-0.0000794,0.00343477,-0.00080139,
-0.5905512,-0.39370078,5.9053998,13.7053998,-0.00010207,0.0032065,-0.00074746,
-0.5905512,-0.39370078,6.10200024,13.90200024,-0.00010982,0.00288187,-0.00067986,
-0.5905512,-0.39370078,6.29920006,14.09920006,-0.00007509,0.00261199,-0.00059671,
-0.5905512,-0.39370078,6.49580002,14.29580002,-0.00002567,0.00250303,-0.00051031,
-0.5905512,-0.39370078,6.69259977,14.49259977,-0.00004819,0.00227233,-0.00049139,
-0.5905512,-0.39370078,6.8895998,14.6895998,-0.00005337,0.0020702,-0.00040561,
-0.5905512,-0.39370078,7.08640003,14.88640003,-0.00006411,0.00192775,-0.00041602,
-0.5905512,-0.39370078,7.28340006,15.08340006,-0.00005149,0.00176493,-0.00041462,
-0.5905512,-0.39370078,7.48000002,15.28000002,0.00001952,0.00166973,-0.00037395,
-0.5905512,-0.39370078,7.67679977,15.47679977,-0.00005194,0.00156247,-0.00030211,
-0.5905512,-0.39370078,7.8737998,15.6737998,-0.00008391,0.00141671,-0.00035141,
-0.5905512,-0.39370078,8.07059956,15.87059956,-0.00001789,0.00128276,-0.00023837,
-0.5905512,-0.39370078,8.26739979,16.06739979,-0.0000116,0.00124044,-0.000269,
-0.5905512,-0.39370078,8.46440029,16.26440029,-0.00002233,0.00112646,-0.00024316,
-0.5905512,-0.39370078,8.66139984,16.46139984,-0.00003982,0.00110618,-0.00021647,
-0.5905512,-0.39370078,8.8579998,16.6579998,-0.00004728,0.00102323,-0.00024414,
-0.5905512,-0.39370078,9.05480003,16.85480003,-0.00006272,0.00097983,-0.00023757,
-0.5905512,-0.39370078,9.25160027,17.05160027,0.0000134,0.00086417,-0.00020906,
-0.5905512,-0.39370078,9.44859982,17.24859982,-0.00005188,0.00082326,-0.00018484,
-0.5905512,-0.39370078,9.64540005,17.44540005,0.00003242,0.00081849,-0.000147,
-0.5905512,-0.39370078,9.8423996,17.6423996,-0.00003866,0.00069975,-0.00015134,
-0.5905512,-0.39370078,10.03899956,17.83899956,0.00003562,0.00071885,-0.00014198,
-0.5905512,-0.39370078,10.23600006,18.03600006,-0.00002859,0.00057439,-0.00011404,
-0.5905512,-0.39370078,10.43280029,18.23280029,-0.00000025,0.00054074,-0.00012876,
-0.5905512,-0.39370078,10.62959957,18.42959957,0.00000345,0.0005883,-0.00014173,
-0.5905512,-0.39370078,10.8263998,18.6263998,0.00003632,0.0005418,-0.00012634,
-0.5905512,-0.39370078,11.02340031,18.82340031,-0.00001755,0.00050987,-0.0001446,
-0.5905512,-0.19685039,0.0002,7.8002,-0.00449465,0.14502502,-0.02581983,
-0.5905512,-0.19685039,0.19660001,7.99660001,-0.00382603,0.12301603,-0.02166184,
-0.5905512,-0.19685039,0.39340001,8.19340001,-0.00321123,0.10414654,-0.01822215,
-0.5905512,-0.19685039,0.59039998,8.39039998,-0.00268494,0.08833279,-0.01523211,
-0.5905512,-0.19685039,0.78719997,8.58719997,-0.00225866,0.07526835,-0.01279122,
-0.5905512,-0.19685039,0.98400003,8.78400003,-0.00189259,0.06425367,-0.01076919,
-0.5905512,-0.19685039,1.18079996,8.98079996,-0.00156841,0.05508168,-0.00906965,
-0.5905512,-0.19685039,1.37759995,9.17759995,-0.00134346,0.04735513,-0.00768586,
-0.5905512,-0.19685039,1.57459998,9.37459998,-0.00116347,0.04086962,-0.00651706,
-0.5905512,-0.19685039,1.77139997,9.57139997,-0.00096707,0.03533712,-0.00556077,
-0.5905512,-0.19685039,1.96819997,#REF!,-0.00080795,0.03073552,-0.00479038,
-0.5905512,-0.19685039,2.16499996,9.96499996,-0.00065671,0.02676003,-0.00412552,
-0.5905512,-0.19685039,2.36199999,10.16199999,-0.00053352,0.02334568,-0.00350978,
-0.5905512,-0.19685039,2.55879998,10.35879998,-0.00048055,0.02048155,-0.00302707,
-0.5905512,-0.19685039,2.75559998,10.55559998,-0.00039469,0.01796187,-0.00263459,
-0.5905512,-0.19685039,2.95239997,10.75239997,-0.0003915,0.01587435,-0.00227795,
-0.5905512,-0.19685039,3.1494,10.9494,-0.00032792,0.01405344,-0.00201477,
-0.5905512,-0.19685039,3.34619999,11.14619999,-0.00026962,0.01240422,-0.0018001,
-0.5905512,-0.19685039,3.54320002,11.34320002,-0.00025615,0.01105104,-0.00145682,
-0.5905512,-0.19685039,3.73979998,11.53979998,-0.00019683,0.00982387,-0.00132682,
-0.5905512,-0.19685039,3.9368,11.7368,-0.00017527,0.00881874,-0.00115606,
-0.5905512,-0.19685039,4.13360023,11.93360023,-0.00021189,0.00785926,-0.00103779,
-0.5905512,-0.19685039,4.33039999,12.13039999,-0.00013187,0.00706591,-0.0009638,
-0.5905512,-0.19685039,4.52720022,12.32720022,-0.00013208,0.00636531,-0.00084583,
-0.5905512,-0.19685039,4.72440004,12.52440004,-0.00013611,0.00574878,-0.00079886,
-0.5905512,-0.19685039,4.921,12.721,-0.00007952,0.00527428,-0.00067578,
-0.5905512,-0.19685039,5.11780024,12.91780024,-0.00007369,0.00473774,-0.00064434,
-0.5905512,-0.19685039,5.31459999,13.11459999,-0.00009133,0.00426278,-0.00051859,
-0.5905512,-0.19685039,5.51160002,13.31160002,-0.00004475,0.00382492,-0.00048307,
-0.5905512,-0.19685039,5.70839977,13.50839977,-0.0000941,0.00345751,-0.00047389,
-0.5905512,-0.19685039,5.9053998,13.7053998,-0.00008516,0.00325946,-0.00043938,
-0.5905512,-0.19685039,6.10200024,13.90200024,-0.00005036,0.00303609,-0.0003717,
-0.5905512,-0.19685039,6.29920006,14.09920006,-0.00009528,0.00263773,-0.00032113,
-0.5905512,-0.19685039,6.49580002,14.29580002,-0.00005449,0.0025593,-0.00033043,
-0.5905512,-0.19685039,6.69259977,14.49259977,-0.00006418,0.00228841,-0.00031394,
-0.5905512,-0.19685039,6.8895998,14.6895998,-0.00002805,0.00211952,-0.00030785,
-0.5905512,-0.19685039,7.08640003,14.88640003,-0.00004563,0.00192013,-0.00025533,
-0.5905512,-0.19685039,7.28340006,15.08340006,-0.00000842,0.00185622,-0.00024893,
-0.5905512,-0.19685039,7.48000002,15.28000002,-0.00007668,0.00159861,-0.00016243,
