% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),
-0.5905512,-0.39370078,0.0002,-12.3618,0.00002643,0.0005896,0.00008205,
-0.5905512,-0.39370078,0.19660001,-12.16539999,-0.00002456,0.00059054,0.00002287,
-0.5905512,-0.39370078,0.39340001,-11.96859999,-0.00003957,0.00061423,0.00000687,
-0.5905512,-0.39370078,0.59039998,-11.77160002,-0.00012794,0.00068447,0.00006785,
-0.5905512,-0.39370078,0.78740001,-11.57459999,0.00000508,0.00071788,-0.0000385,
-0.5905512,-0.39370078,0.98400003,-11.37799997,-0.00003011,0.00073451,0.00004608,
-0.5905512,-0.39370078,1.18079996,-11.18120004,0.00004247,0.00081727,0.0000655,
-0.5905512,-0.39370078,1.37779999,-10.98420001,0.00001601,0.00082974,0.00009293,
-0.5905512,-0.39370078,1.57459998,-10.78740002,0.00001659,0.00088111,0.00010974,
-0.5905512,-0.39370078,1.77139997,-10.59060003,0.00003535,0.00096059,0.00010038,
-0.5905512,-0.39370078,1.96819997,-10.39380003,-0.00005134,0.0010853,0.00012301,
-0.5905512,-0.39370078,2.16499996,-10.19700004,0.00006671,0.00111695,0.00007074,
-0.5905512,-0.39370078,2.36199999,-10.00000001,0.00003105,0.00117692,0.00012828,
-0.5905512,-0.39370078,2.55879998,-9.80320002,-0.00002526,0.00124984,0.00011257,
-0.5905512,-0.39370078,2.75559998,-9.60640002,-0.00004762,0.00139028,0.00017921,
-0.5905512,-0.39370078,2.95239997,-9.40960003,-0.00001707,0.00149288,0.00016392,
-0.5905512,-0.39370078,3.1494,-9.2126,-0.0000984,0.00152246,0.00019894,
-0.5905512,-0.39370078,3.34640002,-9.01559998,-0.00004156,0.00172192,0.00018487,
-0.5905512,-0.39370078,3.54299998,-8.81900002,-0.00003923,0.00174455,0.00025965,
-0.5905512,-0.39370078,3.73979998,-8.62220002,-0.00006983,0.00201738,0.00026814,
-0.5905512,-0.39370078,3.9368,-8.4252,-0.00001659,0.0021092,0.00029499,
-0.5905512,-0.39370078,4.13360023,-8.22839977,-0.00002234,0.00231718,0.0003606,
-0.5905512,-0.39370078,4.33039999,-8.03160001,-0.00001706,0.00250207,0.00040036,
-0.5905512,-0.39370078,4.52720022,-7.83479978,-0.00005611,0.00274667,0.00045438,
-0.5905512,-0.39370078,4.72440004,-7.63759996,-0.0000159,0.00294806,0.00050269,
-0.5905512,-0.39370078,4.921,-7.441,-0.00002697,0.0032657,0.00061196,
-0.5905512,-0.39370078,5.11780024,-7.24419976,-0.00005368,0.0035462,0.00061372,
-0.5905512,-0.39370078,5.31459999,-7.04740001,-0.0000747,0.00383746,0.00070355,
-0.5905512,-0.39370078,5.51160002,-6.85039998,-0.00012786,0.0043157,0.00080471,
-0.5905512,-0.39370078,5.70839977,-6.65360023,-0.00008512,0.00473428,0.00097206,
-0.5905512,-0.39370078,5.9052,-6.4568,-0.00011813,0.00524457,0.00106422,
-0.5905512,-0.39370078,6.10200024,-6.25999976,-0.00013955,0.00577763,0.00121519,
-0.5905512,-0.39370078,6.29920006,-6.06279994,-0.000168,0.00641344,0.00138854,
-0.5905512,-0.39370078,6.49580002,-5.86619998,-0.00021814,0.00706589,0.00153298,
-0.5905512,-0.39370078,6.69259977,-5.66940023,-0.00023063,0.00789245,0.00175525,
-0.5905512,-0.39370078,6.88940001,-5.47259999,-0.00022875,0.00882971,0.00203561,
-0.5905512,-0.39370078,7.08640003,-5.27559997,-0.00028522,0.00977891,0.0023656,
-0.5905512,-0.39370078,7.28340006,-5.07859994,-0.00035437,0.01110456,0.00266533,
-0.5905512,-0.39370078,7.48000002,-4.88199998,-0.00038264,0.01243009,0.00309015,
-0.5905512,-0.39370078,7.67679977,-4.68520023,-0.00046538,0.01407047,0.00357207,
-0.5905512,-0.39370078,7.8737998,-4.4882002,-0.00056021,0.01592418,0.00412641,
-0.5905512,-0.39370078,8.07059956,-4.29140044,-0.00064196,0.01807238,0.00485276,
-0.5905512,-0.39370078,8.26739979,-4.09460021,-0.00080673,0.02054952,0.00566244,
-0.5905512,-0.39370078,8.46420002,-3.89779998,-0.00094624,0.02348531,0.00660801,
-0.5905512,-0.39370078,8.66139984,-3.70060016,-0.00114396,0.02698643,0.0077513,
-0.5905512,-0.39370078,8.8579998,-3.5040002,-0.00134447,0.03106621,0.00919542,
-0.5905512,-0.39370078,9.05480003,-3.30719997,-0.00159075,0.03574936,0.01088471,
-0.5905512,-0.39370078,9.25160027,-3.11039973,-0.00198708,0.04146043,0.01291656,
-0.5905512,-0.39370078,9.44859982,-2.91340018,-0.00235224,0.04817966,0.01551813,
-0.5905512,-0.39370078,9.64540005,-2.71659995,-0.00280922,0.0561816,0.0185731,
-0.5905512,-0.39370078,9.8423996,-2.5196004,-0.00342675,0.06580108,0.02214275,
-0.5905512,-0.39370078,10.03899956,-2.32300044,-0.00433107,0.07744311,0.02689749,
-0.5905512,-0.39370078,10.23600006,-2.12599994,-0.00527353,0.09139072,0.03253513,
-0.5905512,-0.39370078,10.43280029,-1.92919971,-0.00651071,0.10830321,0.03957434,
