% Model:              Derived from data taken by AP-STD
% Version:            Stitched-together map.  See EMPHATIC DocDB 1643
% Date:               14 May 2024, 10:50 Chicago time
% Dimension:          3
% Nodes:              7791
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bx (kG)             mfnc.By (kG)             mfnc.Bz (kG)
-15                       -15                      -310                     0                        0                        0                       
-10                       -15                      -310                     -0.000263542             0.00540705               -0.000707353            
-5                        -15                      -310                     -0.0003271               0.00555296               -0.000719126            
0                         -15                      -310                     -0.00021663              0.00561496               -0.000831347            
5                         -15                      -310                     -4.70139e-05             0.00554786               -0.000723894            
10                        -15                      -310                     5.24954e-05              0.0055173                -0.000796676            
15                        -15                      -310                     0                        0                        0                       
-15                       -10                      -310                     -0.000102263             0.00577692               -0.000455899            
-10                       -10                      -310                     5.16603e-06              0.00631584               -0.000375502            
-5                        -10                      -310                     0.00019859               0.00605251               -0.000421618            
0                         -10                      -310                     -0.000259341             0.00563222               -0.000360918            
5                         -10                      -310                     0.00014733               0.00649054               -0.000446303            
10                        -10                      -310                     -0.000418516             0.0058894                -0.000561538            
15                        -10                      -310                     -0.000214952             0.00556485               -0.000566522            
-15                       -5                       -310                     0.000392599              0.00641257               -0.000440386            
-10                       -5                       -310                     -0.000279882             0.00601825               -0.000294908            
-5                        -5                       -310                     0.000421529              0.00583212               -0.000386103            
0                         -5                       -310                     7.02156e-05              0.00621842               0.000114434             
5                         -5                       -310                     9.1144e-05               0.00626006               -0.000389449            
10                        -5                       -310                     0.000165875              0.00616683               -0.000426647            
15                        -5                       -310                     0.00012031               0.00557139               -0.000159679            
-15                       0                        -310                     -4.33654e-06             0.00650777               0.000234662             
-10                       0                        -310                     0.00036336               0.00567801               -6.41927e-05            
-5                        0                        -310                     3.05634e-05              0.00570811               0.000293322             
0                         0                        -310                     -4.05618e-05             0.006154                 0.000544575             
5                         0                        -310                     -0.000140048             0.00617258               0.000119978             
10                        0                        -310                     -3.03531e-05             0.00595939               0.000156289             
15                        0                        -310                     -0.000471951             0.00614873               6.31234e-05             
-15                       5                        -310                     -5.76142e-05             0.00612369               6.52183e-05             
-10                       5                        -310                     -0.000172544             0.0057029                0.000483236             
-5                        5                        -310                     -2.82168e-05             0.00582543               0.000143848             
0                         5                        -310                     0.000254672              0.00585712               0.0002553               
5                         5                        -310                     -0.000440577             0.00586754               0.000391597             
10                        5                        -310                     -0.000145185             0.00601017               0.000326551             
15                        5                        -310                     0.000324155              0.00605738               0.000324008             
-15                       10                       -310                     -0.000239858             0.00609371               0.000611487             
-10                       10                       -310                     -0.000694216             0.00579955               0.000439235             
-5                        10                       -310                     6.32898e-05              0.00574214               0.00114847              
0                         10                       -310                     -0.000558731             0.00592858               0.00100603              
5                         10                       -310                     9.09197e-05              0.00586755               0.00100274              
10                        10                       -310                     -0.000126438             0.0057864                0.000672762             
15                        10                       -310                     -8.15274e-05             0.00578085               0.000428001             
-15                       15                       -310                     0                        0                        0                       
-10                       15                       -310                     -0.000601548             0.00546604               0.00105686              
-5                        15                       -310                     -0.000107048             0.00609299               0.00124318              
0                         15                       -310                     -0.000192712             0.00583448               0.00115436              
5                         15                       -310                     -6.43027e-05             0.00569119               0.000888873             
10                        15                       -310                     -0.000294778             0.00563294               0.001258                
15                        15                       -310                     0                        0                        0                       
-15                       -15                      -305                     0                        0                        0                       
-10                       -15                      -305                     -0.000132294             0.00569146               -0.000278882            
-5                        -15                      -305                     -0.000456128             0.0058552                -0.000553295            
0                         -15                      -305                     -0.000103245             0.00671783               -0.000732251            
5                         -15                      -305                     -8.34423e-05             0.00615341               -0.000559946            
10                        -15                      -305                     0.00023435               0.00620307               -0.000989746            
15                        -15                      -305                     0                        0                        0                       
-15                       -10                      -305                     -0.000420615             0.00593103               -9.51124e-05            
-10                       -10                      -305                     -0.00013889              0.0062453                -0.000305896            
-5                        -10                      -305                     0.000117999              0.00636127               -0.000655266            
0                         -10                      -305                     -0.000572548             0.00583829               -0.000486291            
5                         -10                      -305                     -4.72115e-05             0.0065077                -0.000612399            
10                        -10                      -305                     -0.000585563             0.00634815               -0.000763996            
15                        -10                      -305                     -0.000538695             0.00606671               -0.000553067            
-15                       -5                       -305                     -1.76738e-05             0.00643024               -1.40009e-05            
-10                       -5                       -305                     -0.000302361             0.00632081               4.73253e-05             
-5                        -5                       -305                     0.000254111              0.00608307               -0.000297101            
0                         -5                       -305                     -0.000329215             0.00645394               0.000308915             
5                         -5                       -305                     -0.000284087             0.00640764               -0.000240013            
10                        -5                       -305                     -6.73122e-05             0.00606801               0.000156273             
15                        -5                       -305                     -0.00020311              0.00581351               -2.2522e-05             
-15                       0                        -305                     -7.92235e-05             0.0066394                0.000167445             
-10                       0                        -305                     1.88661e-05              0.00596118               -0.000217295            
-5                        0                        -305                     -0.000279532             0.00587811               -0.000126941            
0                         0                        -305                     -0.00034732              0.00642364               0.000242706             
5                         0                        -305                     -1.207e-05               0.00607446               -5.50842e-05            
10                        0                        -305                     -6.01555e-05             0.0061822                0.000360764             
15                        0                        -305                     -0.000120567             0.00616102               1.70961e-05             
-15                       5                        -305                     0.000346479              0.00633192               0.000306317             
