% Model:              Derived from data taken by AP-STD
% Version:            Stitched-together map of CMSM magnet for use in Prachi's thesis
% Date:               10 May 2024, 15:46 Chicago time
% Dimension:          3
% Nodes:              4460
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bx (kG)             mfnc.By (kG)             mfnc.Bz (kG)
-15                       -15                      -140                     0                        0                        0
-10                       -15                      -140                     -0.00269277              0.0818262                -0.0285862              
-5                        -15                      -140                     -0.00171437              0.0819114                -0.0286224              
0                         -15                      -140                     -0.000451362             0.0824813                -0.0282791              
5                         -15                      -140                     0.000212656              0.0823143                -0.0274661              
10                        -15                      -140                     0.00144384               0.0822249                -0.0272774              
15                        -15                      -140                     0                        0                        0                       
-15                       -10                      -140                     -0.00241592              0.0832414                -0.0196445              
-10                       -10                      -140                     -0.00181847              0.0842147                -0.01949                
-5                        -10                      -140                     -0.00139599              0.0845182                -0.0192759              
0                         -10                      -140                     -0.000832657             0.084935                 -0.0188722              
5                         -10                      -140                     3.4571e-05               0.0845811                -0.0186121              
10                        -10                      -140                     0.000208482              0.0840094                -0.0179498              
15                        -10                      -140                     0.00102014               0.0833411                -0.0173756              
-15                       -5                       -140                     -0.00150679              0.0848963                -0.0102745              
-10                       -5                       -140                     -0.00147972              0.0857405                -0.0100537              
-5                        -5                       -140                     -0.00112575              0.0857147                -0.00973018             
0                         -5                       -140                     -0.000913209             0.0862363                -0.00926272             
5                         -5                       -140                     -0.000402326             0.0862801                -0.00902452             
10                        -5                       -140                     -0.000223358             0.0853058                -0.00819081             
15                        -5                       -140                     6.70034e-05              0.0842776                -0.00759954             
-15                       0                        -140                     -0.000842015             0.085244                 -0.000692267            
-10                       0                        -140                     -0.000862019             0.0861306                -0.000504604            
-5                        0                        -140                     -0.000578818             0.0865586                -0.000323196            
0                         0                        -140                     -0.000782517             0.0866825                0.000441922             
5                         0                        -140                     -0.000728535             0.0863533                0.000650939             
